Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
Germany,Riegelsberg,Good,1,32,4,46,1,Europe
Germany,Riesa,Moderate,1,36,2,69,2,Europe
Denmark,Ringsted,Good,0,36,0,16,0,Europe
Mexico,Rio Grande,Moderate,1,21,1,58,0,North America
Nicaragua,Rivas,Good,1,21,0,46,0,North America
France,Ronchin,Good,1,25,5,47,4,Europe
France,Roncq,Good,1,27,5,44,4,Europe
United Kingdom of Great Britain and Northern Ireland,Rugby,Good,1,23,5,28,4,Europe
United Kingdom of Great Britain and Northern Ireland,Rugeley,Good,1,15,10,50,1,Europe
Mexico,Salamanca,Unhealthy,3,9,10,137,2,North America
