Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
Italy,Acqui Terme,Moderate,1,34,3,70,1,Europe
Uganda,Adjumani,Moderate,2,22,0,66,0,Africa
Tajikistan,Adrasmon,Unhealthy,1,55,0,132,1,Asia
India,Afzalpur,Moderate,0,25,0,84,1,Asia
India,Ajjampur,Good,0,22,0,39,1,Asia
Japan,Akita,Good,1,29,2,18,1,Asia
Germany,Albstadt,Moderate,1,24,3,72,2,Europe
Brazil,Alegre,Good,1,15,1,40,1,South America
Serbia,Aleksinac,Moderate,1,39,0,68,6,Europe
Brazil,Alhandra,Good,0,23,1,25,0,South America
Mexico,Allende,Moderate,2,28,2,88,1,North America
United States of America,Alpharetta,Moderate,3,23,17,71,2,North America
Ukraine,Alushta,Good,1,44,0,16,1,Europe
Japan,Anan,Good,1,43,1,16,4,Asia
Germany,Andernach,Moderate,1,23,4,51,2,Europe
Colombia,Ansermanuevo,Moderate,3,1,9,98,1,South America
Uganda,Apac,Moderate,2,26,0,69,1,Africa
Italy,Apricena,Good,2,40,4,41,1,Europe
Brazil,Araripe,Good,0,14,0,24,0,South America
Venezuela (Bolivarian Republic of),Araure,Moderate,3,0,9,84,1,South America
Brazil,Areia Branca,Good,0,21,0,19,7,South America
Brazil,Areia Branca,Good,0,21,0,19,7,South America
France,Argenteuil,Moderate,1,19,6,62,2,Europe
United States of America,Arkadelphia,Moderate,1,26,3,73,1,North America
Germany,Arnsberg,Moderate,0,30,2,51,4,Europe
Uganda,Arua,Moderate,2,19,0,63,1,Africa
Italy,Asola,Unhealthy,2,30,9,106,6,Europe
Philippines,Astorga,Good,1,15,0,39,1,Asia
Philippines,Astorga,Good,1,15,0,39,1,Asia
France,Audincourt,Moderate,1,30,1,61,0,Europe
Ghana,Axim,Good,1,23,0,33,0,Africa
United States of America,Babylon,Moderate,2,18,19,57,2,North America
Germany,Bad Sassendorf,Moderate,0,31,2,51,4,Europe
Spain,Baena,Good,1,17,4,33,6,Europe
Australia,Ballina,Good,0,34,1,15,1,Oceania
Russian Federation,Baltiysk,Good,0,33,0,30,0,Europe
India,Bankra,Unhealthy,5,107,6,178,3,Asia
India,Baran,Unhealthy,1,42,0,173,3,Asia
Brazil,Barbacena,Moderate,2,4,5,59,6,South America
United Kingdom of Great Britain and Northern Ireland,Barnstaple,Good,1,23,3,34,0,Europe
Turkey,Batman,Moderate,1,42,2,63,1,Asia
Brazil,Bauru,Good,1,11,2,45,1,South America
Philippines,Bocaue,Moderate,1,23,1,65,12,Asia
Mexico,Bochil,Moderate,2,17,4,56,1,North America
Russian Federation,Bogdanovich,Moderate,1,33,2,54,3,Europe
Russian Federation,Boguchany,Good,1,30,0,38,0,Europe
Ukraine,Borodyanka,Moderate,1,37,1,81,1,Europe
Brazil,Botelhos,Good,1,9,2,47,1,South America
Romania,Brad,Moderate,1,39,1,64,1,Europe
South Africa,Brakpan,Unhealthy,16,10,16,236,96,Africa
United States of America,Brattleboro,Good,1,25,4,31,2,North America
Romania,Breaza,Moderate,1,41,0,52,2,Europe
Poland,Brzeszcze,Moderate,2,31,6,96,4,Europe
Poland,Brzeziny,Moderate,1,28,3,66,1,Europe
Mongolia,Bulgan,Good,1,37,0,12,0,Asia
Papua New Guinea,Bulolo,Good,0,13,0,7,0,Oceania
Australia,Bundaberg,Good,0,32,0,10,0,Oceania
Bulgaria,Burgas,Good,1,40,0,25,1,Europe
Germany,Burglengenfeld,Good,1,35,2,43,1,Europe
Dominican Republic,Cabral,Moderate,2,10,9,76,1,North America
Brazil,Cajati,Good,1,10,1,33,0,South America
Angola,Caluquembe,Good,2,12,0,42,0,Africa
Brazil,Canela,Moderate,1,14,3,51,2,South America
Italy,Canelli,Moderate,1,37,3,78,2,Europe
Italy,Carmagnola,Moderate,1,38,3,82,2,Europe
Philippines,Carmen,Moderate,1,26,0,80,0,Asia
Philippines,Carmen,Moderate,1,26,0,80,0,Asia
Philippines,Carmen,Moderate,1,26,0,80,0,Asia
Philippines,Carmen,Moderate,1,26,0,80,0,Asia
Philippines,Carmen,Moderate,1,26,0,80,0,Asia
Philippines,Carmen,Moderate,1,26,0,80,0,Asia
United States of America,Casas Adobes,Good,1,14,11,42,1,North America
Serbia,Surdulica,Moderate,1,37,0,59,6,Europe
South Africa,Swellendam,Moderate,2,4,3,71,2,Africa
